X,Y,Depth
343951.5552,4483173.2164,3.0706
343951.5552,4483173.0164,3.0758
343951.7552,4483173.4164,2.925
343951.7552,4483173.2164,2.9582
343951.7552,4483173.0164,3.0133
343951.7552,4483172.8164,3.0079
343951.7552,4483172.6164,2.9886
343951.7552,4483172.4164,2.9451
343951.9552,4483173.6164,2.8349
343951.9552,4483173.4164,2.866
343951.9552,4483173.2164,2.8889
343951.9552,4483173.0164,2.8931
343951.9552,4483172.8164,2.9239
343951.9552,4483172.6164,2.9122
343951.9552,4483172.4164,2.9637
343951.9552,4483172.2164,2.9666
343951.9552,4483172.0164,2.9227
343952.1552,4483173.8164,2.7636
343952.1552,4483173.6164,2.7895
343952.1552,4483173.4164,2.8196
343952.1552,4483173.2164,2.8426
343952.1552,4483173.0164,2.8438
343952.1552,4483172.8164,2.8467
343952.1552,4483172.6164,2.8855
343952.1552,4483172.4164,2.9765
343952.1552,4483172.2164,2.9642
343952.1552,4483172.0164,2.9385
343952.1552,4483171.8164,2.9712
343952.3552,4483174.0164,2.627
343952.3552,4483173.8164,2.757
343952.3552,4483173.6164,2.7839
343952.3552,4483173.4164,2.7452
343952.3552,4483173.2164,2.7452
343952.3552,4483173.0164,2.8236
343952.3552,4483172.8164,2.8786
343952.3552,4483172.6164,2.8735
343952.3552,4483172.4164,2.8382
343952.3552,4483172.2164,2.9066
343952.3552,4483172.0164,2.9953
343952.3552,4483171.8164,2.9738
343952.3552,4483171.6164,3.0008
343952.5552,4483174.2164,2.5318
343952.5552,4483174.0164,2.5857
343952.5552,4483173.8164,2.6449
343952.5552,4483173.6164,2.6387
343952.5552,4483173.4164,2.6883
343952.5552,4483173.2164,2.7359
343952.5552,4483173.0164,2.8056
343952.5552,4483172.8164,2.8662
343952.5552,4483172.6164,2.8786
343952.5552,4483172.4164,2.8393
343952.5552,4483172.2164,2.8705
343952.5552,4483172.0164,2.995
343952.5552,4483171.8164,3.011
343952.5552,4483171.6164,3.0295
343952.5552,4483171.4164,3.051
343952.7552,4483174.4164,2.4583
343952.7552,4483174.2164,2.4617
343952.7552,4483174.0164,2.4684
343952.7552,4483173.8164,2.575
343952.7552,4483173.6164,2.6031
343952.7552,4483173.4164,2.6542
343952.7552,4483173.2164,2.7043
343952.7552,4483173.0164,2.7758
343952.7552,4483172.8164,2.8209
343952.7552,4483172.6164,2.8378
343952.7552,4483172.4164,2.8516
343952.7552,4483172.2164,2.8868
343952.7552,4483172.0164,2.9579
343952.7552,4483171.8164,3.0651
343952.7552,4483171.6164,3.0621
343952.7552,4483171.4164,3.0848
343952.7552,4483171.2164,3.131
343952.9552,4483174.6164,2.3703
343952.9552,4483174.4164,2.4026
343952.9552,4483174.2164,2.3929
343952.9552,4483174.0164,2.447
343952.9552,4483173.8164,2.5522
343952.9552,4483173.6164,2.5843
343952.9552,4483173.4164,2.6401
343952.9552,4483173.2164,2.6726
343952.9552,4483173.0164,2.7452
343952.9552,4483172.8164,2.7976
343952.9552,4483172.6164,2.8207
343952.9552,4483172.4164,2.8453
343952.9552,4483172.2164,2.8924
343952.9552,4483172.0164,2.9556
343952.9552,4483171.8164,3.0217
