Line,Start Easting,Start Northing,End Easting,End Northing
3,343993.03,4483170.4,343971.8428,4483193.801
4,343969.48,4483189.68,343989.2959,4483166.827
5,343985.64,4483163.02,343965.6456,4483186.879
6,343962.21,4483183.67,343983.3648,4483158.931
7,343979.3,4483154.47,343958.3335,4483180.572
8,343954.97,4483176.77,343975.9944,4483151.876
9,343972.52,4483148.77,343951.4585,4483173.194
10,343951.86,4483172.06,343973.1241,4483194.064
11,343976.94,4483190.3,343955.2556,4483168.755
12,343957.69,4483164.11,343980.0771,4483186.706
13,343983.28,4483182.99,343960.3279,4483159.665
14,343963.51,4483154.85,343987.0841,4483179.527
15,343990.72,4483176.05,343967.6397,4483152.937
16,343970.6,4483148.97,343993.6476,4483172.184
