CP3,Northing,Easting,Elevation
dem0001,4483187.976,344004.59,2053.549
dem0002,4483187.818,344004.518,2053.584
dem0003,4483187.332,344004.213,2053.565
dem0004,4483186.775,344003.86,2053.627
dem0005,4483186.005,344003.577,2053.593
dem0006,4483185.079,344003.129,2053.61
dem0007,4483184.189,344002.592,2053.611
dem0008,4483183.213,344002.166,2053.66
dem0009,4483182.138,344001.716,2053.654
dem0010,4483181.185,344001.383,2053.607
dem0011,4483180.163,344000.926,2053.535
dem0012,4483179.129,344000.342,2053.487
dem0013,4483178.062,343999.885,2053.567
dem0014,4483176.976,343999.427,2053.679
dem0015,4483175.986,343999.063,2053.717
dem0016,4483174.993,343998.624,2053.93
dem0017,4483174.026,343998.082,2054.04
dem0018,4483173.079,343997.539,2054.165
dem0019,4483172.036,343997.081,2054.348
dem0020,4483170.932,343996.606,2054.448
dem0021,4483170.058,343996.178,2054.488
dem0022,4483168.929,343995.757,2054.466
dem0023,4483167.878,343995.387,2054.428
dem0024,4483166.779,343994.907,2054.351
dem0025,4483165.608,343994.376,2054.228
dem0026,4483164.362,343993.774,2054.107
dem0027,4483163.282,343993.248,2053.973
dem0028,4483162.011,343992.749,2053.961
dem0029,4483160.807,343992.201,2054.009
dem0030,4483159.598,343991.637,2054.024
dem0031,4483158.377,343991.059,2054.063
dem0032,4483157.156,343990.482,2054.009
dem0033,4483155.999,343989.938,2054.054
dem0034,4483154.829,343989.413,2054.071
dem0035,4483153.618,343988.923,2053.996
dem0036,4483152.562,343988.461,2053.98
dem0037,4483151.416,343987.9,2054.013
dem0038,4483150.325,343987.344,2053.966
dem0039,4483149.169,343986.777,2053.944
dem0040,4483148.081,343986.2,2054.01
dem0041,4483146.859,343985.662,2054.137
dem0042,4483145.826,343985.335,2054.366
dem0043,4483145.131,343985.058,2054.618
dem0044,4483144.526,343984.738,2054.886
dem0045,4483141.136,343982.968,2055.504
dem0046,4483141.162,343981.922,2055.628
dem0047,4483142.093,343981.508,2055.77
dem0048,4483143.146,343981.558,2055.708
dem0049,4483144.185,343981.898,2055.603
dem0050,4483145.271,343982.235,2055.319
dem0051,4483146.321,343982.52,2055.005
dem0052,4483147.453,343982.897,2054.613
dem0053,4483148.702,343983.347,2054.591
dem0054,4483150.034,343983.873,2054.621
dem0055,4483151.359,343984.335,2054.539
dem0056,4483152.62,343984.871,2054.534
dem0057,4483153.795,343985.443,2054.542
dem0058,4483155.143,343986.011,2054.563
dem0059,4483156.33,343986.423,2054.556
dem0060,4483157.665,343986.839,2054.525
dem0061,4483158.862,343987.414,2054.654
dem0062,4483160.174,343987.899,2054.581
dem0063,4483161.416,343988.492,2054.555
dem0064,4483162.676,343989.046,2054.607
dem0065,4483163.951,343989.609,2054.481
dem0066,4483165.239,343990.194,2054.441
dem0067,4483166.387,343990.698,2054.617
dem0068,4483167.446,343991.252,2054.819
dem0069,4483168.576,343991.821,2054.902
dem0070,4483169.637,343992.428,2054.732
dem0071,4483170.942,343993.136,2054.707
dem0072,4483172.143,343993.829,2054.637
dem0073,4483173.361,343994.543,2054.481
dem0074,4483174.469,343995.26,2054.321
dem0075,4483175.663,343996.029,2054.276
dem0076,4483176.819,343996.75,2054.144
dem0077,4483178.017,343997.43,2054.07
dem0078,4483179.213,343998.101,2053.856
dem0079,4483180.509,343998.927,2053.81
dem0080,4483181.62,343999.58,2053.966
dem0081,4483182.844,344000.239,2053.963
dem0082,4483183.981,344000.964,2053.906
dem0083,4483185.18,344001.675,2053.805
dem0084,4483186.287,344002.299,2053.813
dem0085,4483187.417,344002.856,2053.811
dem0086,4483188.261,344002.953,2053.826
dem0087,4483188.788,344002.324,2053.941
dem0088,4483188.256,344001.56,2054.091
dem0089,4483187.26,344000.891,2054.114
dem0090,4483186.102,344000.321,2054.097
dem0091,4483184.96,343999.762,2054.176
dem0092,4483183.702,343999.142,2054.224
dem0093,4483182.433,343998.483,2054.194
dem0094,4483181.232,343997.867,2054.015
dem0095,4483179.893,343997.152,2054.117
dem0096,4483178.729,343996.523,2054.253
dem0097,4483177.522,343995.895,2054.294
dem0098,4483176.217,343995.303,2054.358
dem0099,4483174.894,343994.65,2054.41
dem0100,4483173.57,343994.099,2054.496
dem0101,4483172.366,343993.525,2054.603
dem0102,4483171.09,343992.943,2054.74
dem0103,4483169.82,343992.362,2054.798
dem0104,4483168.702,343991.779,2054.846
